,symbol,max,min,ult,mov,moneda,fecha,hora,origen
0,BBVA.MC,5.829999923706055,5.684000015258789,5.686999797821045,-1.863680363261864,Euro,2021-09-28,12:54:34,YahooFinance
1,BBVA.MC,5.744999885559082,5.618000030517578,5.742000102996826,0.4021724231199073,Euro,2021-09-29,12:54:34,YahooFinance
2,BBVA.MC,5.811999797821045,5.699999809265137,5.7170000076293945,-1.2607936909255102,Euro,2021-09-30,12:54:34,YahooFinance
3,BBVA.MC,5.645999908447266,5.511000156402588,5.632999897003174,0.4099779490443893,Euro,2021-10-01,12:54:34,YahooFinance
4,BBVA.MC,5.710000038146973,5.557000160217285,5.633999824523926,0.6071414369709345,Euro,2021-10-04,12:54:34,YahooFinance
5,BBVA.MC,6.0,5.599999904632568,6.0,7.085486781109282,Euro,2021-10-05,12:54:34,YahooFinance
6,BBVA.MC,5.999000072479248,5.869999885559082,5.945000171661377,-0.4187540939506675,Euro,2021-10-06,12:54:34,YahooFinance
7,BBVA.MC,6.078000068664551,5.925000190734863,6.039999961853027,0.6666660308837891,Euro,2021-10-07,12:54:34,YahooFinance
8,BBVA.MC,6.001999855041504,5.900000095367432,5.929999828338623,-0.5700938203457753,Euro,2021-10-08,12:54:34,YahooFinance
9,BBVA.MC,5.982999801635742,5.882999897003174,5.914000034332275,0.0169106629915347,Euro,2021-10-11,12:54:34,YahooFinance
10,BBVA.MC,5.90399980545044,5.756999969482422,5.90399980545044,1.617897824383249,Euro,2021-10-12,12:54:34,YahooFinance
11,BBVA.MC,5.920000076293945,5.690000057220459,5.690000057220459,-3.148935196247507,Euro,2021-10-13,12:54:34,YahooFinance
12,BBVA.MC,5.754000186920166,5.579999923706055,5.63700008392334,-1.2784580339043714,Euro,2021-10-14,12:54:34,YahooFinance
13,BBVA.MC,5.835000038146973,5.675000190734863,5.769000053405762,1.566905418255459,Euro,2021-10-15,12:54:34,YahooFinance
14,BBVA.MC,5.822999954223633,5.736000061035156,5.822999954223633,1.322424463379832,Euro,2021-10-18,12:54:34,YahooFinance
15,BBVA.MC,5.85699987411499,5.754000186920166,5.776000022888184,-0.4309618144767313,Euro,2021-10-19,12:54:34,YahooFinance
16,BBVA.MC,5.861999988555908,5.7170000076293945,5.829999923706055,1.1625874046315374,Euro,2021-10-20,12:54:34,YahooFinance
17,BBVA.MC,5.787000179290772,5.63700008392334,5.660999774932861,-2.00796566508302,Euro,2021-10-21,12:54:34,YahooFinance
18,BBVA.MC,5.727000236511231,5.631999969482422,5.685999870300293,0.2645012603686467,Euro,2021-10-22,12:54:34,YahooFinance
19,BBVA.MC,5.734000205993652,5.585999965667725,5.701000213623047,0.9026569450402632,Euro,2021-10-25,12:54:34,YahooFinance
20,BBVA.MC,5.735000133514404,5.611000061035156,5.683000087738037,-0.3157362780305988,Euro,2021-10-26,12:54:34,YahooFinance
21,BBVA.MC,5.74399995803833,5.561999797821045,5.614999771118164,-1.1443672391706912,Euro,2021-10-27,12:54:34,YahooFinance
22,BBVA.MC,5.673999786376953,5.500999927520752,5.640999794006348,0.7501306852334864,Euro,2021-10-28,12:54:34,YahooFinance
23,BBVA.MC,6.098999977111816,5.760000228881836,6.061999797821045,5.243047863521269,Euro,2021-10-29,12:54:34,YahooFinance
24,BBVA.MC,6.291999816894531,6.03000020980835,6.27899980545044,3.750822173778616,Euro,2021-11-01,12:54:34,YahooFinance
25,BBVA.MC,6.254000186920166,6.140999794006348,6.162000179290772,-0.6449526111370005,Euro,2021-11-02,12:54:34,YahooFinance
26,BBVA.MC,6.189000129699707,6.064000129699707,6.183000087738037,0.4549127047155537,Euro,2021-11-03,12:54:34,YahooFinance
27,BBVA.MC,6.260000228881836,6.005000114440918,6.039999961853027,-2.893888013026398,Euro,2021-11-04,12:54:34,YahooFinance
28,BBVA.MC,6.10699987411499,5.997000217437744,6.026000022888184,-0.0331760962508695,Euro,2021-11-05,12:54:34,YahooFinance
29,BBVA.MC,6.089000225067139,5.994999885559082,6.037000179290772,0.5161527990761812,Euro,2021-11-08,12:54:34,YahooFinance
30,ELE.MC,18.299999237060547,17.969999313354492,18.065000534057617,-1.0136957037938714,Euro,2021-09-28,12:54:34,YahooFinance
31,ELE.MC,18.084999084472656,17.764999389648438,17.860000610351562,-0.8603873691271815,Euro,2021-09-29,12:54:34,YahooFinance
32,ELE.MC,18.0,17.420000076293945,17.420000076293945,-3.2222217983669736,Euro,2021-09-30,12:54:34,YahooFinance
33,ELE.MC,17.709999084472656,17.280000686645508,17.600000381469727,1.1784990992314732,Euro,2021-10-01,12:54:34,YahooFinance
34,ELE.MC,17.844999313354492,17.59000015258789,17.59000015258789,-1.318376439232253,Euro,2021-10-04,12:54:34,YahooFinance
35,ELE.MC,17.799999237060547,17.469999313354492,17.65999984741211,0.0566585218015376,Euro,2021-10-05,12:54:34,YahooFinance
36,ELE.MC,17.684999465942383,17.424999237060547,17.6299991607666,0.1135635986479428,Euro,2021-10-06,12:54:34,YahooFinance
37,ELE.MC,18.559999465942383,18.03499984741211,18.38999938964844,0.7119340588012761,Euro,2021-10-07,12:54:34,YahooFinance
38,ELE.MC,18.649999618530277,18.315000534057617,18.5,0.5434803453420614,Euro,2021-10-08,12:54:34,YahooFinance
39,ELE.MC,18.45499992370605,17.96500015258789,18.104999542236328,-1.8433188301070944,Euro,2021-10-11,12:54:34,YahooFinance
40,ELE.MC,18.155000686645508,17.809999465942383,18.125,0.7504181800967586,Euro,2021-10-12,12:54:34,YahooFinance
