,Unnamed: 0,MSFT,MSFT.1,MSFT.2,MSFT.3,MSFT.4,MSFT.5,BBVA.MC,BBVA.MC.1,BBVA.MC.2,BBVA.MC.3,BBVA.MC.4,BBVA.MC.5,ELE.MC,ELE.MC.1,ELE.MC.2,ELE.MC.3,ELE.MC.4,ELE.MC.5,ORI,ORI.1,ORI.2,ORI.3,ORI.4,ORI.5,GRF.MC,GRF.MC.1,GRF.MC.2,GRF.MC.3,GRF.MC.4,GRF.MC.5,ANA.MC,ANA.MC.1,ANA.MC.2,ANA.MC.3,ANA.MC.4,ANA.MC.5
0,,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-25,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,302.010009765625,20006100.0,5.513999938964844,5.7230000495910645,5.507999897003174,5.706999778747559,5.706999778747559,16087675,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-26,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,299.0899963378906,17666100.0,5.684000015258789,5.709000110626221,5.603000164031982,5.61299991607666,5.61299991607666,10038040,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-27,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,299.7200012207031,22597000.0,5.599999904632568,5.611999988555908,5.507999897003174,5.579999923706055,5.579999923706055,7953758,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-08-30,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,303.5899963378906,16348100.0,5.589000225067139,5.619999885559082,5.5269999504089355,5.534999847412109,5.534999847412109,5222088,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-08-31,304.4200134277344,304.5,301.5,301.8800048828125,301.8800048828125,26285300.0,5.534999847412109,5.574999809265137,5.4710001945495605,5.546999931335449,5.546999931335449,18690447,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-09-01,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,301.8299865722656,18983800.0,5.624000072479248,5.688000202178955,5.6020002365112305,5.63700008392334,5.63700008392334,13229785,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-09-02,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,301.1499938964844,16285600.0,5.650000095367432,5.672999858856201,5.559999942779541,5.609000205993652,5.609000205993652,15794366,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-09-03,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,301.1400146484375,14747900.0,5.639999866485596,5.665999889373779,5.565000057220459,5.567999839782715,5.567999839782715,15224363,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-09-06,,,,,,,5.589000225067139,5.636000156402588,5.556000232696533,5.564000129699707,5.564000129699707,4133474,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-09-07,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,300.17999267578125,17180400.0,5.564000129699707,5.627999782562256,5.556000232696533,5.5929999351501465,5.5929999351501465,9855859,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-09-08,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,300.2099914550781,15046800.0,5.559999942779541,5.6020002365112305,5.468999862670898,5.519999980926514,5.519999980926514,19836678,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-09-09,300.82000732421875,302.1400146484375,297.0,297.25,297.25,19927000.0,5.489999771118164,5.545000076293945,5.429999828338623,5.51200008392334,5.51200008392334,12711737,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-09-10,298.4200134277344,299.9200134277344,295.3800048828125,295.7099914550781,295.7099914550781,19619400.0,5.547999858856201,5.598999977111816,5.479000091552734,5.5,5.5,12278613,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-09-13,297.54998779296875,298.5400085449219,294.0799865722656,296.989990234375,296.989990234375,23652900.0,5.519000053405762,5.6020002365112305,5.48199987411499,5.5970001220703125,5.5970001220703125,14537552,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-09-14,299.55999755859375,301.3900146484375,298.1000061035156,299.7900085449219,299.7900085449219,21853400.0,5.6020002365112305,5.684999942779541,5.568999767303467,5.579999923706055,5.579999923706055,21584625,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-09-15,303.260009765625,305.32000732421875,301.82000732421875,304.82000732421875,304.82000732421875,28356300.0,5.583000183105469,5.668000221252441,5.551000118255615,5.6020002365112305,5.6020002365112305,21017089,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-09-16,303.760009765625,305.30999755859375,300.760009765625,305.2200012207031,305.2200012207031,19550800.0,5.630000114440918,5.756999969482422,5.618000030517578,5.723999977111816,5.723999977111816,22507768,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-09-17,304.1700134277344,304.5,299.5299987792969,299.8699951171875,299.8699951171875,41309300.0,5.7789998054504395,5.859000205993652,5.665999889373779,5.671999931335449,5.671999931335449,228528294,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-09-20,296.3299865722656,298.7200012207031,289.5199890136719,294.29998779296875,294.29998779296875,38278700.0,5.581999778747559,5.589000225067139,5.248000144958496,5.248000144958496,5.248000144958496,51902596,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-09-21,295.69000244140625,297.5400085449219,294.07000732421875,294.79998779296875,294.79998779296875,22364100.0,5.318999767303467,5.36299991607666,5.25,5.281000137329102,5.281000137329102,31220683,,,,,,,,,,,,,,,,,,,,,,,,
